task_id,method_id,resolution,precision_class,platform,clean_runtime_ms_median,peak_process_gpu_memory_mib_median,power_energy_per_match_j_median,clean_runtime_status,memory_status,power_status,oom_status,power_scope,clean_runtime_valid_pair_count,memory_valid_pair_count,power_valid_pair_count
rubik_vis_vis_reference,loftr,1024,fp16,orin,652.3480145000001,4654.0380601882935,5.341568965568,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,1024,fp32,orin,1468.327565,4286.037016868591,13.8337452967808,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,loftr,1024,mp,orin,709.404818,3730.0371084213257,5.938501745408,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,128,fp32,orin,203.2964295,2836.163827896118,1.9452203526762668,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,128,mp,orin,218.99291,2836.1638584136963,1.2976792731282965,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,256,fp32,orin,500.5073215,3418.16379737854,5.383037662789333,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,256,mp,orin,366.7834995,3444.1638584136963,2.8607964513960003,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,512,fp32,orin,2388.727675,4198.196764945984,22.9889464482432,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,512,mp,orin,1628.5380435000002,3838.19682598114,12.046275888768,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,mast3r,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,mast3r,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,matchanything-eloftr,128,fp16,orin,124.8627805,424.0347623825073,0.289039085008,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,128,fp32,orin,110.072886,714.6737337112427,0.3679693916251428,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,128,mp,orin,135.87667499999998,714.0338411331177,0.3236097708324202,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,256,fp16,orin,129.2632955,688.0347623825073,0.5237585249294223,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,256,fp32,orin,135.674788,992.6737337112428,0.8419725921845581,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,256,mp,orin,143.823234,970.0338411331176,0.5852567374523077,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,512,fp16,orin,206.967425,1702.034762382507,1.4423364898261162,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,512,fp32,orin,310.313424,2180.033749580384,2.7373833691488,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,512,mp,orin,226.263437,2074.03381061554,1.5440271079852308,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,1024,fp16,orin,814.1498305,4438.034762382507,5.816259201224,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,matchanything-eloftr,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,matchanything-eloftr,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
rubik_vis_vis_reference,orb-cuda,128,native,orin,3.018108,0.6964759826660156,0.0035366342367838,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,orb-cuda,256,native,orin,10.878907,2.9518585205078125,0.0142468609072748,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,orb-cuda,512,native,orin,21.999357,3.3900222778320312,0.0295359339970975,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,orb-cuda,1024,native,orin,40.051474,11.07693862915039,0.0474823554643426,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,sift-gpu,128,native,orin,18.659543,9.917993545532228,0.0399782182440747,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,sift-gpu,256,native,orin,43.7561945,41.04830360412598,0.1038534428254848,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,sift-gpu,512,native,orin,111.5685795,158.97384071350098,0.3035783172250169,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,sift-gpu,1024,native,orin,334.065945,651.72825050354,1.2469170203282407,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,128,fp16,orin,52.172952,78.37960433959961,0.1139901201707065,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,128,fp32,orin,51.0254935,80.37954330444336,0.160342455374934,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,128,mp,orin,55.2734795,80.37954330444336,0.1546742990295018,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,256,fp16,orin,51.409057,98.37969589233398,0.163781821940886,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,256,fp32,orin,48.711695500000005,120.37954330444336,0.2959358362255867,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,256,mp,orin,44.5625285,108.37954330444336,0.213464914558666,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,512,fp16,orin,77.0980505,204.379695892334,0.4487651775121634,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,512,fp32,orin,113.302484,252.37954330444336,0.95955345896832,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,512,mp,orin,86.683031,218.37957382202148,0.7373791825343947,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,1024,fp16,orin,212.182803,624.379695892334,1.6195926007754542,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,1024,fp32,orin,365.4876925,750.3795433044434,3.548782700881965,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-lightglue,1024,mp,orin,288.5157585,650.3795738220215,2.6968573281635555,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,128,fp16,orin,80.6267605,78.19430255889893,0.1659506336306162,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,128,fp32,orin,72.2713365,80.19325923919678,0.2149469575314072,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,128,mp,orin,99.3712185,80.19335079193115,0.2148783337114296,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
