task_id,method_id,resolution,precision_class,n_pairs,pose_valid,pose_auc_5,pose_auc_10,pose_auc_20,success_count_5,success_count_10,success_count_20
rubik_vis_vis_reference,dkm,128,fp32,100,96,20.84111889079093,31.829765965065214,41.77555713099885,37,48,54
rubik_vis_vis_reference,dkm,128,mp,100,98,15.137880966651752,26.192071923280224,36.69384957223668,30,42,52
rubik_vis_vis_reference,dkm,256,fp32,100,96,33.12195553584699,45.110542752815725,55.368893768541504,49,62,68
rubik_vis_vis_reference,dkm,256,mp,100,97,34.93922124627203,45.92561460380044,55.80526987082302,53,61,69
rubik_vis_vis_reference,dkm,512,fp32,100,97,47.15034552745895,58.82943103216579,67.79362368798729,63,75,78
rubik_vis_vis_reference,dkm,512,mp,100,98,47.4250807306358,59.176687608070864,68.51062126212636,65,76,78
rubik_vis_vis_reference,dkm,1024,fp32,100,98,50.97089848701874,60.90666003173651,68.27680745499262,68,73,77
rubik_vis_vis_reference,dkm,1024,mp,100,99,48.39174101300577,59.31219069306993,67.12320872649948,66,72,77
rubik_vis_vis_reference,efficientloftr,128,fp16,100,95,1.922383163566934,5.836515288479819,14.375343638034456,5,16,26
rubik_vis_vis_reference,efficientloftr,128,fp32,100,94,2.818395941791757,6.867838951819588,13.969711116437702,7,16,23
rubik_vis_vis_reference,efficientloftr,128,mp,100,95,2.816552528560349,6.786051275254451,14.100751856917409,6,16,27
rubik_vis_vis_reference,efficientloftr,256,fp16,100,97,15.759023796048377,26.161111710109783,35.252412015180184,29,40,47
rubik_vis_vis_reference,efficientloftr,256,fp32,100,97,13.868865872878503,24.10953337946505,33.636358055041434,26,40,47
rubik_vis_vis_reference,efficientloftr,256,mp,100,96,14.081479468002394,24.15249626361323,34.30128359623347,25,39,47
rubik_vis_vis_reference,efficientloftr,512,fp16,100,96,27.799322183981097,36.63034044955168,43.25274891004975,43,48,52
rubik_vis_vis_reference,efficientloftr,512,fp32,100,97,29.549427462452293,37.32983650864145,44.60992282759858,44,46,55
rubik_vis_vis_reference,efficientloftr,512,mp,100,98,28.11493819910458,37.187875194483496,44.66125100457911,42,48,55
rubik_vis_vis_reference,efficientloftr,1024,fp16,100,97,34.94598476570924,45.53961255842584,53.6754450060306,50,58,64
rubik_vis_vis_reference,efficientloftr,1024,fp32,100,98,30.504705168786018,42.8102957944675,52.30321064844768,46,57,64
rubik_vis_vis_reference,efficientloftr,1024,mp,100,98,34.48107187748036,45.69476985888257,55.040785204285214,49,60,66
rubik_vis_vis_reference,loftr,128,fp16,100,86,4.067279528018768,7.984623485068945,15.418594906130906,8,16,27
rubik_vis_vis_reference,loftr,128,fp32,100,86,3.655018553053555,7.090666397821196,14.92412581756755,7,15,28
rubik_vis_vis_reference,loftr,128,mp,100,86,3.522608006016505,7.281732234832364,15.478760264971964,7,16,29
rubik_vis_vis_reference,loftr,256,fp16,100,99,14.7439660124073,24.872215903510376,33.90792062080078,29,38,46
rubik_vis_vis_reference,loftr,256,fp32,100,99,17.42481225910543,26.2228731209637,36.15089141457114,29,39,49
rubik_vis_vis_reference,loftr,256,mp,100,100,13.73180606854765,24.399498132960385,33.78792640462011,29,39,47
rubik_vis_vis_reference,loftr,512,fp16,100,99,27.61263282594245,37.2572377675993,46.52093209145255,44,49,61
rubik_vis_vis_reference,loftr,512,fp32,100,99,26.700646384002702,37.51844431164575,46.2899521291661,42,52,59
rubik_vis_vis_reference,loftr,512,mp,100,98,28.068839618556428,37.901499172772766,45.89281937367783,44,48,59
rubik_vis_vis_reference,loftr,1024,fp16,100,98,34.26478251790076,44.04031680604791,52.23069344485306,49,57,62
rubik_vis_vis_reference,loftr,1024,fp32,100,99,33.01776354440095,42.76649118421794,51.11280975610936,48,54,62
rubik_vis_vis_reference,loftr,1024,mp,100,99,33.715532489500866,44.29023706301397,52.3911330359771,45,58,62
rubik_vis_vis_reference,mast3r,128,fp32,100,89,2.319686146322709,8.691965173567521,16.944774375123732,8,20,27
rubik_vis_vis_reference,mast3r,128,mp,100,88,3.896832071194558,8.966250901640493,16.649046154641812,10,17,29
rubik_vis_vis_reference,mast3r,256,fp32,100,95,38.28978700657471,54.9357652534217,67.58529238021214,64,77,83
rubik_vis_vis_reference,mast3r,256,mp,100,96,35.58211857866719,51.55423234858141,64.65015645449468,60,73,82
rubik_vis_vis_reference,mast3r,512,fp32,100,96,60.5518580645924,74.51870400457088,83.15064461004734,85,91,92
rubik_vis_vis_reference,mast3r,512,mp,100,95,60.08189104629044,74.83181377261823,83.83071320836044,85,92,93
rubik_vis_vis_reference,mast3r,1024,fp32,100,94,18.135985703175702,28.8206231744182,37.56575122639556,33,42,52
rubik_vis_vis_reference,mast3r,1024,mp,100,94,21.237358971550503,29.8744991188706,40.23494701908217,36,41,60
rubik_vis_vis_reference,matchanything-eloftr,128,fp16,100,73,1.5502340990570056,3.264623318725675,5.7211031999154605,3,6,11
rubik_vis_vis_reference,matchanything-eloftr,128,fp32,100,73,1.6435606549108714,3.2487396122857297,6.43082932708543,4,5,11
rubik_vis_vis_reference,matchanything-eloftr,128,mp,100,72,1.5392739690580115,2.9434870678451275,6.299304504934615,3,5,11
rubik_vis_vis_reference,matchanything-eloftr,256,fp16,100,95,8.724925839011439,15.792017338125891,23.47486372898331,18,26,34
rubik_vis_vis_reference,matchanything-eloftr,256,fp32,100,95,8.384776837177203,14.838150716667611,21.693961406209947,18,24,31
rubik_vis_vis_reference,matchanything-eloftr,256,mp,100,96,6.390609626641949,12.190255568344574,20.31256789092213,13,23,30
rubik_vis_vis_reference,matchanything-eloftr,512,fp16,100,98,22.43586727150049,34.17571018953736,45.006069530397085,38,52,57
rubik_vis_vis_reference,matchanything-eloftr,512,fp32,100,98,23.93959055461841,34.63549360203552,44.5597275179524,39,48,57
rubik_vis_vis_reference,matchanything-eloftr,512,mp,100,98,24.90633977179327,33.7077529406064,43.01672679430566,38,46,58
rubik_vis_vis_reference,matchanything-eloftr,1024,fp16,100,98,34.38744425749998,46.05604964521527,53.57199228703102,55,59,64
rubik_vis_vis_reference,matchanything-eloftr,1024,fp32,100,98,35.90453613329673,46.01018321557955,55.9893982874079,52,59,69
